%beta,row,col,value
1.7,3,7,1.49922919
1.7,4,0,1.49848754
1.7,4,1,0.50204774
1.7,4,2,1.49717462
1.7,4,3,0.50364774
1.7,4,4,1.49615423
1.7,4,5,0.50364774
1.7,4,6,1.49717462
1.7,4,7,0.50204774
1.7,5,0,0.49996875
1.7,5,1,1.49922919
1.7,5,2,0.50223768
1.7,5,3,1.49678878
1.7,5,4,0.50368027
1.7,5,5,1.49682846
1.7,5,6,0.50215386
1.7,5,7,1.49928708
1.7,6,0,1.50681213
1.7,6,1,0.4957069
1.7,6,2,1.49996765
1.7,6,3,0.50224468
1.7,6,4,1.49712002
1.7,6,5,0.50221687
1.7,6,6,1.50008843
1.7,6,7,0.49558999
1.7,7,0,0.43358966
1.7,7,1,1.5120945
1.7,7,2,0.49566821
1.7,7,3,1.49920744
1.7,7,4,0.50210476
1.7,7,5,1.49922425
1.7,7,6,0.49561685
1.7,7,7,1.512187
1.8,0,0,1.79597921
1.8,0,1,0.39486682
1.8,0,2,1.55344482
1.8,0,3,0.45024345
1.8,0,4,1.54893505
1.8,0,5,0.45024345
1.8,0,6,1.55344482
1.8,0,7,0.39486682
1.8,1,0,0.39484446
1.8,1,1,1.55586349
1.8,1,2,0.44765268
1.8,1,3,1.54931422
1.8,1,4,0.4512193
1.8,1,5,1.54930265
1.8,1,6,0.44764829
1.8,1,7,1.55589326
1.8,2,0,1.55346563
1.8,2,1,0.44766137
1.8,2,2,1.54968859
1.8,2,3,0.45122575
1.8,2,4,1.54844495
1.8,2,5,0.45122973
1.8,2,6,1.54969878
1.8,2,7,0.44761397
1.8,3,0,0.45022595
1.8,3,1,1.54930026
1.8,3,2,0.45124171
1.8,3,3,1.54833997
1.8,3,4,0.45178612
1.8,3,5,1.5483419
1.8,3,6,0.45121195
1.8,3,7,1.54935984
1.8,4,0,1.54889706
1.8,4,1,0.4512353
1.8,4,2,1.54844678
1.8,4,3,0.45176239
1.8,4,4,1.54813697
1.8,4,5,0.45176239
1.8,4,6,1.54844678
1.8,4,7,0.4512353
1.8,5,0,0.45022595
1.8,5,1,1.54935984
1.8,5,2,0.45121195
1.8,5,3,1.5483419
1.8,5,4,0.45178612
1.8,5,5,1.54833997
1.8,5,6,0.45124171
1.8,5,7,1.54930026
1.8,6,0,1.55346563
1.8,6,1,0.44761397
1.8,6,2,1.54969878
1.8,6,3,0.45122973
1.8,6,4,1.54844495
1.8,6,5,0.45122575
1.8,6,6,1.54968859
1.8,6,7,0.44766137
1.8,7,0,0.39484446
1.8,7,1,1.55589326
1.8,7,2,0.44764829
1.8,7,3,1.54930265
1.8,7,4,0.4512193
1.8,7,5,1.54931422
1.8,7,6,0.44765268
1.8,7,7,1.55586349
1.9,0,0,1.80634282
1.9,0,1,0.36785807
1.9,0,2,1.58520296
1.9,0,3,0.41686223
1.9,0,4,1.58264691
1.9,0,5,0.41686223
1.9,0,6,1.58520296
1.9,0,7,0.36785807
1.9,1,0,0.36782343
1.9,1,1,1.58601993
1.9,1,2,0.41515465
1.9,1,3,1.58284072
1.9,1,4,0.41736444
1.9,1,5,1.58284146
1.9,1,6,0.4151661
1.9,1,7,1.5860063
1.9,2,0,1.58522989
1.9,2,1,0.41513789
1.9,2,2,1.58303562
1.9,2,3,0.41733924
1.9,2,4,1.5824475
1.9,2,5,0.41733644
1.9,2,6,1.58302653
1.9,2,7,0.41515978
1.9,3,0,0.41685938
1.9,3,1,1.58285634
1.9,3,2,0.41731503
1.9,3,3,1.58243278
1.9,3,4,0.41756492
1.9,3,5,1.58244169
1.9,3,6,0.4173277
1.9,3,7,1.58283291
1.9,4,0,1.58264302
1.9,4,1,0.41736177
1.9,4,2,1.58246929
1.9,4,3,0.41755399
1.9,4,4,1.58236686
1.9,4,5,0.41755399
1.9,4,6,1.58246929
1.9,4,7,0.41736177
1.9,5,0,0.41685938
1.9,5,1,1.58283291
1.9,5,2,0.4173277
1.9,5,3,1.58244169
1.9,5,4,0.41756492
1.9,5,5,1.58243278
1.9,5,6,0.41731503
1.9,5,7,1.58285634
1.9,6,0,1.58522989
1.9,6,1,0.41515978
1.9,6,2,1.58302653
1.9,6,3,0.41733644
1.9,6,4,1.5824475
1.9,6,5,0.41733924
1.9,6,6,1.58303562
1.9,6,7,0.41513789
1.9,7,0,0.36782343
1.9,7,1,1.5860063
1.9,7,2,0.4151661
1.9,7,3,1.58284146
1.9,7,4,0.41736444
1.9,7,5,1.58284072
1.9,7,6,0.41515465
1.9,7,7,1.58601993
